,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,totalDistance,killPlacePerc,walkDistancePerc,_totalDistance,zombi,cheater,_healthAndBoosts,_killDamage,_killPlaceOverMaxPlace,_killsOverWalkDistance,_walkDistancePerSec
0,eef90569b9d03c,684d5656442f9e,aeb375fc57110c,0.0,0,91.47,0,0,0,57,0,0,0,0.0,1777,squad,26,25,1484,0,0.0045,0,11.04,0,0,1434.0,5,0,1445.0445,0.25,0.5652173913043478,1445.0445,1,0,0,91.47,2.1923076923076925,0.0,0.806978052898143
1,731c1f5ca550f3,557ca8543fb0dd,aeb375fc57110c,0.0,1,149.1,1,1,0,33,0,1,1,6.9670000000000005,1777,squad,26,25,1501,0,0.0,0,0.0,0,0,574.5,6,0,574.5,0.6304347826086957,0.40217391304347827,574.5,0,0,1,249.1,1.2692307692307692,0.0017406440382941688,0.323297692740574
2,bc582884e811c9,b9e8b77c01059b,aeb375fc57110c,0.0,2,514.6,5,2,0,2,0,5,2,116.0,1777,squad,26,25,1488,2,0.0,0,0.0,0,0,2618.0,6,0,2618.0,0.9728260869565217,0.7934782608695652,2618.0,0,0,2,1014.6,0.07692307692307693,0.0019098548510313217,1.4732695554305009
3,0158597c8ff166,4c526bf789bcf4,aeb375fc57110c,0.0,0,42.32,1,0,0,37,0,1,1,15.02,1777,squad,26,25,1477,0,0.0,0,0.0,0,0,699.3,2,0,699.3,0.6304347826086957,0.43478260869565216,699.3,0,0,0,142.32,1.4230769230769231,0.00143000143000143,0.39352841868317384
4,96fe29ae2e5099,766390c7622843,aeb375fc57110c,0.0,0,22.95,0,0,0,84,0,0,0,0.0,1777,squad,26,25,1349,0,0.0,0,0.0,0,0,188.2,3,0,188.2,0.25,0.22826086956521738,188.2,1,0,0,22.95,3.230769230769231,0.0,0.10590883511536296
5,48c12b2733ebf1,44961cf90f1aba,aeb375fc57110c,0.0,1,0.0,0,0,0,50,0,0,0,0.0,1777,squad,26,25,1500,0,4682.0,0,0.0,0,0,2458.0,2,0,7140.0,0.25,0.75,7140.0,1,0,1,0.0,1.9230769230769231,0.0,1.3832301631963984
6,8d71c13e15cd00,766390c7622843,aeb375fc57110c,0.0,0,161.4,1,1,2,43,0,1,1,6.183,1777,squad,26,25,1415,0,0.0,0,0.0,0,0,143.0,2,0,143.0,0.6304347826086957,0.1956521739130435,143.0,0,0,2,261.4,1.6538461538461537,0.006993006993006993,0.08047270680922904
7,c0e7289968b0d4,b88c63770f6f54,aeb375fc57110c,0.0,0,94.8,0,0,0,72,0,0,0,0.0,1777,squad,26,25,1463,0,904.7,0,0.0,0,0,540.8,3,0,1445.5,0.25,0.3804347826086957,1445.5,1,0,0,94.8,2.769230769230769,0.0,0.30433314575126613
8,2030a4f4d15872,4c526bf789bcf4,aeb375fc57110c,0.0,1,287.7,2,1,0,36,0,1,1,20.67,1777,squad,26,25,1491,0,0.0,0,0.0,0,0,800.4,4,0,800.4,0.6304347826086957,0.4673913043478261,800.4,0,0,1,387.7,1.3846153846153846,0.0012493753123438282,0.45042205965109733
9,9d7c54f5e4313a,645894055adb04,aeb375fc57110c,5.0,4,453.5,4,1,3,5,0,3,1,220.1,1777,squad,26,25,1404,0,0.0,0,0.0,0,0,3604.0,4,0,3604.0,0.9347826086956522,0.9130434782608695,3604.0,0,0,7,753.5,0.19230769230769232,0.000832408435072142,2.028137310073157
