,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2910,M416,Battlefield-4,1.0,475007.6,467566.9,MIRAMAR,2U4GBNA0YmkvCmIao1jSik4oZSUnd8bzeMgA1H7GSnDkUaEJqNxb66ia2M1H60rJ,1878,xiaojunkai,2.0,476683.5,471632.5
4403,AKM,ChinaEasyKill,1.0,630838.3,436689.2,MIRAMAR,2U4GBNA0Ymk5zg3inVCasHGfBCqqK5ua4SpK2lrZRn20EhfQKDhwvXf1A2Eh07Ji,1966,HidexHoldings,2.0,631439.8,438525.1
4554,SCAR-L,JDXF-LaoM,1.0,199461.5,555778.0,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,1786,Bangbangchick,2.0,206733.4,545583.6
5730,SKS,Nilookat,1.0,105357.2,380079.3,MIRAMAR,2U4GBNA0Ymnp7WwAto9g2slLUaiBKUFaPfS2cP7mxfvB4zSMybPXSCofOEAgrxRI,1807,AsTW,2.0,105530.5,373952.6
6294,AUG,Ghw-Kevin,1.0,367936.9,553730.7,MIRAMAR,2U4GBNA0YmkBdWOTl0viZyP9BZHq6-ofZRBEjZ_gLlyDDSM8jJks2pTrmSEPTq3U,1659,Tang3321,2.0,366349.9,555606.8
11336,AUG,BSS1991,1.0,697400.4,317278.3,MIRAMAR,2U4GBNA0YmnvNvisAv2vEWjvk5hQwUunTU-wwxsNuGnzJQUIChL9WS9l8HAPn6NL,1879,Soar-YE,2.0,696968.8,311846.0
12837,SCAR-L,Huadongyuwenle,1.0,361474.9,460795.4,MIRAMAR,2U4GBNA0YmlMBkU4uV1PHlE8qq8DQDypOsZ9C9D7iZlZuVQUzyyCjViX9fsnP5VL,1967,AaronTim,2.0,361532.8,460876.2
13177,SCAR-L,Tie_to_wa,1.0,480767.0,231588.3,MIRAMAR,2U4GBNA0YmnoW8afpHFqvydQuLzOCEJkMcGJZvC0XfmIBDrrmpXLRz8D_QsqTFmb,1907,R-moyer,2.0,481968.9,231387.9
15321,SCAR-L,Blue4Alex,1.0,505884.2,322328.4,MIRAMAR,2U4GBNA0Ymk_4UiIqG68gPliNVWi_u4FTGdQcPG1ZuSvNTDLtehGeppu9j1YVe1j,1864,joejak,2.0,508940.6,329225.7
20742,M416,perfactGG,1.0,268783.8,530967.0,MIRAMAR,2U4GBNA0Ymm9q3H4dUXJen_BrEj9F01YRQxGZuxvZ5Lz3-sSojZuy7UaCTQyxPjJ,1975,kmd1979,2.0,268743.6,530553.7
21952,M416,linlucI,1.0,371875.5,283201.5,MIRAMAR,2U4GBNA0YmlukFw3dvz1UO3PDgye5yyr136uPClyNsPwJ8Tz3XcUSUFleD_Ikmlt,1995,Leif93,2.0,371937.3,281208.8
25433,M416,BOSS-lmz,1.0,317380.1,350874.1,MIRAMAR,2U4GBNA0YmmSqhs1Q3P8z0A1AN20PzxJXPAzr5DXN_GgX4b_FQVr5L5YRB53lmcm,1961,uro87,2.0,318568.3,348232.6
25686,M416,Aldeabaran,1.0,482637.6,352024.9,MIRAMAR,2U4GBNA0YmnXB7lYRwlBRKqseeOTh_LDOoR5RVMEl28hyUrDrhgd21ps6Pa5tFiP,1993,caciqueNTC,2.0,483051.4,350607.9
