Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints
eef90569b9d03c,684d5656442f9e,aeb375fc57110c,0,0,91.47,0,0,0,57,0,0,0,0,1777,squad-fpp,26,25,1484,0,0.0045,0,11.04,0,0,1434,5,0
731c1f5ca550f3,557ca8543fb0dd,aeb375fc57110c,0,1,149.1,1,1,0,33,0,1,1,6.967,1777,squad-fpp,26,25,1501,0,0,0,0,0,0,574.5,6,0
bc582884e811c9,b9e8b77c01059b,aeb375fc57110c,0,2,514.6,5,2,0,2,0,5,2,116,1777,squad-fpp,26,25,1488,2,0,0,0,0,0,2618,6,0
0158597c8ff166,4c526bf789bcf4,aeb375fc57110c,0,0,42.32,1,0,0,37,0,1,1,15.02,1777,squad-fpp,26,25,1477,0,0,0,0,0,0,699.3,2,0
96fe29ae2e5099,766390c7622843,aeb375fc57110c,0,0,22.95,0,0,0,84,0,0,0,0,1777,squad-fpp,26,25,1349,0,0,0,0,0,0,188.2,3,0
48c12b2733ebf1,44961cf90f1aba,aeb375fc57110c,0,1,0,0,0,0,50,0,0,0,0,1777,squad-fpp,26,25,1500,0,4682,0,0,0,0,2458,2,0
8d71c13e15cd00,766390c7622843,aeb375fc57110c,0,0,161.4,1,1,2,43,0,1,1,6.183,1777,squad-fpp,26,25,1415,0,0,0,0,0,0,143,2,0
c0e7289968b0d4,b88c63770f6f54,aeb375fc57110c,0,0,94.8,0,0,0,72,0,0,0,0,1777,squad-fpp,26,25,1463,0,904.7,0,0,0,0,540.8,3,0
2030a4f4d15872,4c526bf789bcf4,aeb375fc57110c,0,1,287.7,2,1,0,36,0,1,1,20.67,1777,squad-fpp,26,25,1491,0,0,0,0,0,0,800.4,4,0
9d7c54f5e4313a,645894055adb04,aeb375fc57110c,5,4,453.5,4,1,3,5,0,3,1,220.1,1777,squad-fpp,26,25,1404,0,0,0,0,0,0,3604,4,0
22ca0305243fc1,885d2a5349434e,aeb375fc57110c,0,3,220.4,1,0,1,13,0,2,1,62.39,1777,squad-fpp,26,25,1359,0,0,0,0,0,0,4457,4,0
